date,city,rainfall_mm,temperature
2025-12-23,Agra,0.0,16.5
2025-12-24,Agra,0.0,16.2
2025-12-25,Agra,0.0,13.8
2025-12-26,Agra,0.0,13.9
2025-12-27,Agra,0.0,13.9
2025-12-28,Agra,0.0,13.2
2025-12-29,Agra,0.0,12.9
2025-12-30,Agra,0.0,14.4
2025-12-23,Ahmedabad,47.8,23.3
2025-12-24,Ahmedabad,35.3,23.1
2025-12-25,Ahmedabad,0.0,22.1
2025-12-26,Ahmedabad,0.0,21.8
2025-12-27,Ahmedabad,0.0,21.6
2025-12-28,Ahmedabad,0.0,21.8
2025-12-29,Ahmedabad,0.0,22.0
2025-12-30,Ahmedabad,53.7,22.1
2025-12-23,Ahmednagar,0.0,20.0
2025-12-24,Ahmednagar,0.0,19.9
2025-12-25,Ahmednagar,0.0,20.2
2025-12-26,Ahmednagar,0.0,19.9
2025-12-27,Ahmednagar,0.0,20.6
2025-12-28,Ahmednagar,0.0,20.6
2025-12-29,Ahmednagar,0.0,20.6
2025-12-30,Ahmednagar,0.0,21.1
2025-12-23,Akola,0.0,20.1
2025-12-24,Akola,0.0,20.1
2025-12-25,Akola,0.0,19.1
2025-12-26,Akola,0.0,19.0
2025-12-27,Akola,0.0,19.4
2025-12-28,Akola,0.0,19.2
2025-12-29,Akola,0.0,19.2
2025-12-30,Akola,0.0,19.6
2025-12-23,Aligarh,0.0,16.1
2025-12-24,Aligarh,0.0,15.4
2025-12-25,Aligarh,0.0,13.9
2025-12-26,Aligarh,0.0,13.9
2025-12-27,Aligarh,0.0,13.3
2025-12-28,Aligarh,0.0,12.9
2025-12-29,Aligarh,0.0,12.6
2025-12-30,Aligarh,0.0,12.6
2025-12-23,Allahabad,0.0,14.0
2025-12-24,Allahabad,0.0,16.4
2025-12-25,Allahabad,0.0,14.4
2025-12-26,Allahabad,0.0,13.9
2025-12-27,Allahabad,0.0,14.8
2025-12-28,Allahabad,0.0,13.2
2025-12-29,Allahabad,0.0,13.4
2025-12-30,Allahabad,0.0,13.6
2025-12-23,Alwar,0.0,18.0
2025-12-24,Alwar,0.0,16.4
2025-12-25,Alwar,0.0,14.0
2025-12-26,Alwar,0.0,15.8
2025-12-27,Alwar,0.0,15.2
2025-12-28,Alwar,0.0,16.7
2025-12-29,Alwar,0.0,16.4
2025-12-30,Alwar,0.0,17.4
2025-12-23,Amravati,0.0,20.1
2025-12-24,Amravati,0.0,19.6
2025-12-25,Amravati,0.0,19.1
2025-12-26,Amravati,0.0,19.6
2025-12-27,Amravati,0.0,20.4
2025-12-28,Amravati,0.0,20.4
2025-12-29,Amravati,0.0,20.1
2025-12-30,Amravati,0.0,19.1
2025-12-23,Amritsar,0.0,15.7
2025-12-24,Amritsar,0.0,14.8
2025-12-25,Amritsar,0.0,14.1
2025-12-26,Amritsar,0.0,14.9
2025-12-27,Amritsar,0.0,13.6
2025-12-28,Amritsar,0.0,12.4
2025-12-29,Amritsar,0.0,11.5
2025-12-30,Amritsar,0.0,12.0
2025-12-23,Anantapur,0.0,22.4
2025-12-24,Anantapur,0.0,21.4
2025-12-25,Anantapur,0.0,22.0
2025-12-26,Anantapur,0.0,23.1
2025-12-27,Anantapur,0.0,22.6
2025-12-28,Anantapur,0.0,21.8
2025-12-29,Anantapur,0.0,22.4
2025-12-30,Anantapur,0.0,22.9
2025-12-23,Arrah,0.0,14.5
2025-12-24,Arrah,0.0,15.7
2025-12-25,Arrah,0.0,15.8
2025-12-26,Arrah,0.0,15.2
2025-12-27,Arrah,0.0,14.0
2025-12-28,Arrah,0.0,13.7
2025-12-29,Arrah,0.0,13.4
2025-12-30,Arrah,0.0,13.4
2025-12-23,Asansol,0.0,16.4
2025-12-24,Asansol,0.0,16.0
2025-12-25,Asansol,0.0,16.5
2025-12-26,Asansol,0.0,16.2
2025-12-27,Asansol,0.0,16.4
2025-12-28,Asansol,0.0,14.9
2025-12-29,Asansol,0.0,14.1
2025-12-30,Asansol,0.0,14.3
2025-12-23,Aurangabad,0.0,20.4
2025-12-24,Aurangabad,0.0,19.9
2025-12-25,Aurangabad,0.0,19.6
2025-12-26,Aurangabad,0.0,19.9
2025-12-27,Aurangabad,0.0,20.2
2025-12-28,Aurangabad,0.0,20.1
2025-12-29,Aurangabad,0.0,20.3
2025-12-30,Aurangabad,0.0,19.8
2025-12-23,Avadi,0.0,23.4
2025-12-24,Avadi,0.0,24.1
2025-12-25,Avadi,0.0,23.7
2025-12-26,Avadi,0.0,24.6
2025-12-27,Avadi,0.0,24.2
2025-12-28,Avadi,0.0,23.8
2025-12-29,Avadi,0.0,23.8
2025-12-30,Avadi,0.0,24.2
2025-12-23,Bangalore,47.0,19.8
2025-12-24,Bangalore,34.5,20.1
2025-12-25,Bangalore,0.0,20.2
2025-12-26,Bangalore,0.0,21.6
2025-12-27,Bangalore,0.0,20.5
2025-12-28,Bangalore,0.0,20.4
2025-12-29,Bangalore,52.4,20.8
2025-12-30,Bangalore,55.971896377435776,21.5
2025-12-23,Barasat,0.0,19.0
2025-12-24,Barasat,0.0,18.8
2025-12-25,Barasat,0.0,16.1
2025-12-26,Barasat,0.0,16.6
2025-12-27,Barasat,0.0,17.6
2025-12-28,Barasat,0.0,16.8
2025-12-29,Barasat,0.0,14.9
2025-12-30,Barasat,0.0,14.6
2025-12-23,Bardhaman,0.0,17.3
2025-12-24,Bardhaman,0.0,16.8
2025-12-25,Bardhaman,0.0,15.3
2025-12-26,Bardhaman,0.0,15.1
2025-12-27,Bardhaman,0.0,16.6
2025-12-28,Bardhaman,0.0,16.1
2025-12-29,Bardhaman,0.0,13.4
2025-12-30,Bardhaman,0.0,13.7
2025-12-23,Bareilly,0.0,14.3
2025-12-24,Bareilly,0.0,15.5
2025-12-25,Bareilly,0.0,15.1
2025-12-26,Bareilly,0.0,14.6
2025-12-27,Bareilly,0.0,13.0
2025-12-28,Bareilly,0.0,13.9
2025-12-29,Bareilly,0.0,13.8
2025-12-30,Bareilly,0.0,12.9
2025-12-23,Bathinda,0.0,16.1
2025-12-24,Bathinda,0.0,14.9
2025-12-25,Bathinda,0.0,14.0
2025-12-26,Bathinda,0.0,15.2
2025-12-27,Bathinda,0.0,14.3
2025-12-28,Bathinda,0.0,13.0
2025-12-29,Bathinda,0.0,12.0
2025-12-30,Bathinda,0.0,12.8
2025-12-23,Begusarai,0.0,15.2
2025-12-24,Begusarai,0.0,15.8
2025-12-25,Begusarai,0.0,16.2
2025-12-26,Begusarai,0.0,15.4
2025-12-27,Begusarai,0.0,15.0
2025-12-28,Begusarai,0.0,14.5
2025-12-29,Begusarai,0.0,13.9
2025-12-30,Begusarai,0.0,13.4
2025-12-23,Belgaum,0.0,20.3
2025-12-24,Belgaum,0.0,19.6
2025-12-25,Belgaum,0.0,19.6
2025-12-26,Belgaum,0.0,19.8
2025-12-27,Belgaum,0.0,20.5
2025-12-28,Belgaum,0.0,20.1
2025-12-29,Belgaum,0.0,20.4
2025-12-30,Belgaum,0.0,20.8
2025-12-23,Bellary,0.0,21.6
2025-12-24,Bellary,0.0,21.1
2025-12-25,Bellary,0.0,21.1
2025-12-26,Bellary,0.0,21.6
2025-12-27,Bellary,0.0,21.6
2025-12-28,Bellary,0.0,21.1
2025-12-29,Bellary,0.0,21.4
2025-12-30,Bellary,0.0,21.9
2025-12-23,Bhagalpur,0.0,15.7
2025-12-24,Bhagalpur,0.0,15.8
2025-12-25,Bhagalpur,0.0,16.0
2025-12-26,Bhagalpur,0.0,15.7
2025-12-27,Bhagalpur,0.0,15.1
2025-12-28,Bhagalpur,0.0,14.6
2025-12-29,Bhagalpur,0.0,13.9
2025-12-30,Bhagalpur,0.0,13.4
2025-12-23,Bharatpur,0.0,16.6
2025-12-24,Bharatpur,0.0,16.4
2025-12-25,Bharatpur,0.0,14.5
2025-12-26,Bharatpur,0.0,13.8
2025-12-27,Bharatpur,0.0,13.7
2025-12-28,Bharatpur,0.0,14.1
2025-12-29,Bharatpur,0.0,13.3
2025-12-30,Bharatpur,0.0,13.8
2025-12-23,Bhilwara,0.0,20.4
2025-12-24,Bhilwara,0.0,18.8
2025-12-25,Bhilwara,0.0,17.0
2025-12-26,Bhilwara,0.0,16.9
2025-12-27,Bhilwara,0.0,16.1
2025-12-28,Bhilwara,0.0,16.6
2025-12-29,Bhilwara,0.0,17.7
2025-12-30,Bhilwara,0.0,17.4
2025-12-23,Bhopal,0.0,18.6
2025-12-24,Bhopal,0.0,19.2
2025-12-25,Bhopal,0.0,17.1
2025-12-26,Bhopal,0.0,16.4
2025-12-27,Bhopal,0.0,15.8
2025-12-28,Bhopal,0.0,16.1
2025-12-29,Bhopal,0.0,16.1
2025-12-30,Bhopal,0.0,16.9
2025-12-23,Bhubaneswar,0.0,20.2
2025-12-24,Bhubaneswar,0.0,21.2
2025-12-25,Bhubaneswar,0.0,21.1
2025-12-26,Bhubaneswar,0.0,20.3
2025-12-27,Bhubaneswar,0.0,20.2
2025-12-28,Bhubaneswar,0.0,20.9
2025-12-29,Bhubaneswar,0.0,20.0
2025-12-30,Bhubaneswar,0.0,19.9
2025-12-23,Bhusawal,0.0,22.2
2025-12-24,Bhusawal,0.0,20.8
2025-12-25,Bhusawal,0.0,20.7
2025-12-26,Bhusawal,0.0,21.2
2025-12-27,Bhusawal,0.0,21.4
2025-12-28,Bhusawal,0.0,21.1
2025-12-29,Bhusawal,0.0,20.9
2025-12-30,Bhusawal,0.0,20.2
2025-12-23,Bidar,0.0,20.6
2025-12-24,Bidar,0.0,20.1
2025-12-25,Bidar,0.0,20.4
2025-12-26,Bidar,0.0,20.6
2025-12-27,Bidar,0.0,20.7
2025-12-28,Bidar,0.0,20.2
2025-12-29,Bidar,0.0,20.5
2025-12-30,Bidar,0.0,21.2
2025-12-23,Bijapur,0.0,21.5
2025-12-24,Bijapur,0.0,20.5
2025-12-25,Bijapur,0.0,20.7
2025-12-26,Bijapur,0.0,20.8
2025-12-27,Bijapur,0.0,21.0
2025-12-28,Bijapur,0.0,20.8
2025-12-29,Bijapur,0.0,20.9
2025-12-30,Bijapur,0.0,21.4
2025-12-23,Bilaspur,0.0,17.8
2025-12-24,Bilaspur,0.0,17.5
2025-12-25,Bilaspur,0.0,18.7
2025-12-26,Bilaspur,0.0,18.8
2025-12-27,Bilaspur,0.0,18.1
2025-12-28,Bilaspur,0.0,18.0
2025-12-29,Bilaspur,0.0,17.7
2025-12-30,Bilaspur,0.0,18.1
2025-12-23,Bokaro Steel City,0.0,16.1
2025-12-24,Bokaro Steel City,0.0,15.2
2025-12-25,Bokaro Steel City,0.0,14.4
2025-12-26,Bokaro Steel City,0.0,14.1
2025-12-27,Bokaro Steel City,0.0,14.6
2025-12-28,Bokaro Steel City,0.0,14.0
2025-12-29,Bokaro Steel City,0.0,13.9
2025-12-30,Bokaro Steel City,0.0,14.1
2025-12-23,Chandigarh,0.0,15.5
2025-12-24,Chandigarh,0.0,15.6
2025-12-25,Chandigarh,0.0,13.6
2025-12-26,Chandigarh,0.0,13.6
2025-12-27,Chandigarh,0.0,12.8
2025-12-28,Chandigarh,0.0,12.5
2025-12-29,Chandigarh,0.0,11.4
2025-12-30,Chandigarh,0.0,11.9
2025-12-23,Chandrapur,0.0,19.6
2025-12-24,Chandrapur,0.0,18.9
2025-12-25,Chandrapur,0.0,19.6
2025-12-26,Chandrapur,0.0,19.6
2025-12-27,Chandrapur,0.0,19.6
2025-12-28,Chandrapur,0.0,19.0
2025-12-29,Chandrapur,0.0,19.2
2025-12-30,Chandrapur,0.0,19.8
2025-12-23,Chennai,37.3,24.5
2025-12-24,Chennai,48.0,25.4
2025-12-25,Chennai,37.6,24.5
2025-12-26,Chennai,0.0,25.7
2025-12-27,Chennai,0.0,25.3
2025-12-28,Chennai,0.0,24.9
2025-12-29,Chennai,0.0,25.2
2025-12-30,Chennai,59.52052845820471,25.2
2025-12-23,Chikkaballapur,0.0,18.4
2025-12-24,Chikkaballapur,0.0,18.6
2025-12-25,Chikkaballapur,0.0,18.9
2025-12-26,Chikkaballapur,0.0,21.1
2025-12-27,Chikkaballapur,0.0,19.9
2025-12-28,Chikkaballapur,0.0,19.8
2025-12-29,Chikkaballapur,0.0,19.5
2025-12-30,Chikkaballapur,0.0,20.6
2025-12-23,Chitradurga,0.0,20.2
2025-12-24,Chitradurga,0.0,19.8
2025-12-25,Chitradurga,0.0,20.3
2025-12-26,Chitradurga,0.0,21.3
2025-12-27,Chitradurga,0.0,21.5
2025-12-28,Chitradurga,0.0,20.0
2025-12-29,Chitradurga,0.0,20.9
2025-12-30,Chitradurga,0.0,21.9
2025-12-23,Coimbatore,0.0,23.9
2025-12-24,Coimbatore,0.0,23.9
2025-12-25,Coimbatore,0.0,23.5
2025-12-26,Coimbatore,0.5,23.8
2025-12-27,Coimbatore,1.1,23.8
2025-12-28,Coimbatore,0.0,23.8
2025-12-29,Coimbatore,0.0,24.0
2025-12-30,Coimbatore,0.0,24.8
2025-12-23,Darbhanga,0.0,15.1
2025-12-24,Darbhanga,0.0,15.6
2025-12-25,Darbhanga,0.0,15.2
2025-12-26,Darbhanga,0.0,14.8
2025-12-27,Darbhanga,0.0,14.2
2025-12-28,Darbhanga,0.0,14.4
2025-12-29,Darbhanga,0.0,13.8
2025-12-30,Darbhanga,0.0,12.8
2025-12-23,Davangere,0.0,21.1
2025-12-24,Davangere,0.0,21.0
2025-12-25,Davangere,0.0,20.9
2025-12-26,Davangere,0.0,21.2
2025-12-27,Davangere,0.0,21.9
2025-12-28,Davangere,0.0,20.9
2025-12-29,Davangere,0.0,21.6
2025-12-30,Davangere,0.0,22.4
2025-12-23,Dehradun,0.0,15.7
2025-12-24,Dehradun,0.0,13.8
2025-12-25,Dehradun,0.0,13.3
2025-12-26,Dehradun,0.0,12.5
2025-12-27,Dehradun,0.0,13.2
2025-12-28,Dehradun,0.0,13.6
2025-12-29,Dehradun,0.0,12.5
2025-12-30,Dehradun,0.0,12.8
2025-12-23,Delhi,44.5,16.7
2025-12-24,Delhi,53.7,16.0
2025-12-25,Delhi,0.0,15.0
2025-12-26,Delhi,0.0,14.7
2025-12-27,Delhi,0.0,14.8
2025-12-28,Delhi,0.0,14.1
2025-12-29,Delhi,0.0,13.6
2025-12-30,Delhi,55.36006729917118,13.8
2025-12-23,Dewas,0.0,18.9
2025-12-24,Dewas,0.0,18.2
2025-12-25,Dewas,0.0,17.7
2025-12-26,Dewas,0.0,16.9
2025-12-27,Dewas,0.0,16.5
2025-12-28,Dewas,0.0,16.9
2025-12-29,Dewas,0.0,17.5
2025-12-30,Dewas,0.0,17.9
2025-12-23,Dhanbad,0.0,16.1
2025-12-24,Dhanbad,0.0,15.4
2025-12-25,Dhanbad,0.0,14.9
2025-12-26,Dhanbad,0.0,14.2
2025-12-27,Dhanbad,0.0,14.8
2025-12-28,Dhanbad,0.0,14.1
2025-12-29,Dhanbad,0.0,14.1
2025-12-30,Dhanbad,0.0,14.3
2025-12-23,Dharmapuri,0.0,22.6
2025-12-24,Dharmapuri,0.0,22.9
2025-12-25,Dharmapuri,0.0,22.6
2025-12-26,Dharmapuri,0.0,24.0
2025-12-27,Dharmapuri,0.0,23.0
2025-12-28,Dharmapuri,0.0,23.4
2025-12-29,Dharmapuri,0.0,23.3
2025-12-30,Dharmapuri,0.0,23.9
2025-12-23,Dhule,0.0,21.2
2025-12-24,Dhule,0.0,21.0
2025-12-25,Dhule,0.0,20.2
2025-12-26,Dhule,0.0,20.1
2025-12-27,Dhule,0.0,20.4
2025-12-28,Dhule,0.0,20.4
2025-12-29,Dhule,0.0,20.4
2025-12-30,Dhule,0.0,20.4
2025-12-23,Dindigul,0.0,23.6
2025-12-24,Dindigul,0.0,24.0
2025-12-25,Dindigul,0.0,23.9
2025-12-26,Dindigul,0.1,24.5
2025-12-27,Dindigul,0.0,24.0
2025-12-28,Dindigul,0.0,24.2
2025-12-29,Dindigul,0.0,24.4
2025-12-30,Dindigul,0.0,24.8
2025-12-23,Durg,0.0,18.0
2025-12-24,Durg,0.0,19.1
2025-12-25,Durg,0.0,18.6
2025-12-26,Durg,0.0,18.9
2025-12-27,Durg,0.0,18.5
2025-12-28,Durg,0.0,18.0
2025-12-29,Durg,0.0,17.9
2025-12-30,Durg,0.0,18.6
2025-12-23,Eluru,0.0,23.2
2025-12-24,Eluru,0.0,23.3
2025-12-25,Eluru,0.0,23.1
2025-12-26,Eluru,0.0,23.0
2025-12-27,Eluru,0.0,24.0
2025-12-28,Eluru,0.0,23.0
2025-12-29,Eluru,0.0,23.1
2025-12-30,Eluru,0.0,22.9
2025-12-23,Erode,0.0,25.5
2025-12-24,Erode,0.0,25.6
2025-12-25,Erode,0.0,25.2
2025-12-26,Erode,0.2,25.4
2025-12-27,Erode,0.0,25.6
2025-12-28,Erode,0.0,25.6
2025-12-29,Erode,0.0,25.8
2025-12-30,Erode,0.0,25.8
2025-12-23,Etawah,0.0,16.8
2025-12-24,Etawah,0.0,16.1
2025-12-25,Etawah,0.0,14.1
2025-12-26,Etawah,0.0,14.2
2025-12-27,Etawah,0.0,14.6
2025-12-28,Etawah,0.0,14.2
2025-12-29,Etawah,0.0,13.4
2025-12-30,Etawah,0.0,14.0
2025-12-23,Faridabad,0.0,16.1
2025-12-24,Faridabad,0.0,15.8
2025-12-25,Faridabad,0.0,15.1
2025-12-26,Faridabad,0.0,14.5
2025-12-27,Faridabad,0.0,14.1
2025-12-28,Faridabad,0.0,13.6
2025-12-29,Faridabad,0.0,12.3
2025-12-30,Faridabad,0.0,13.7
2025-12-23,Farrukhabad,0.0,15.1
2025-12-24,Farrukhabad,0.0,15.8
2025-12-25,Farrukhabad,0.0,14.6
2025-12-26,Farrukhabad,0.0,15.1
2025-12-27,Farrukhabad,0.0,13.9
2025-12-28,Farrukhabad,0.0,14.7
2025-12-29,Farrukhabad,0.0,13.4
2025-12-30,Farrukhabad,0.0,12.6
2025-12-23,Gandhinagar,0.0,22.9
2025-12-24,Gandhinagar,0.0,22.9
